eligible_queries,mean_qa_f1,hit_rate_at_k,top1_rate,spearman_ndcg_vs_qa_f1,spearman_mrr_vs_qa_f1,mean_qa_f1_hit,mean_qa_f1_miss,qa_f1_lift_hit_vs_miss,mean_qa_f1_top1,mean_qa_f1_non_top1,qa_f1_lift_top1_vs_non_top1,qa_positive_rate_hit,qa_positive_rate_miss,qa_positive_lift_hit_vs_miss,qa_positive_rate_top1,qa_positive_rate_non_top1,qa_positive_lift_top1_vs_non_top1,qa_strong_rate_hit,qa_strong_rate_miss,qa_strong_lift_hit_vs_miss,qa_strong_rate_top1,qa_strong_rate_non_top1,qa_strong_lift_top1_vs_non_top1,dataset,run_id,system_label,parser_max_facts,target_mode,target_prefix,target_label
963,0.12937672952620274,0.7538940809968847,0.17341640706126688,0.07221629236999294,0.05686177940593036,0.13407283155392047,0.11499120179572563,0.019081629758194843,0.15534367780496197,0.1239288898747545,0.031414787930207466,0.4118457300275482,0.35864978902953587,0.05319594099801234,0.47305389221556887,0.38316582914572866,0.08988806306984021,0.09090909090909091,0.0759493670886076,0.014959723820483314,0.09580838323353294,0.08542713567839195,0.010381247555140985,LoCoMo,20260314T044224Z_locomo_ollama_bge_m3_full,ollama / bge-m3,5,canonical,canonical,Canonical
1533,0.13134179405720278,0.7123287671232876,0.012393998695368558,0.28818024234849826,0.2791506491033788,0.1619764248666039,0.05548461300535237,0.10649181186125153,0.20815635580178515,0.13037780682262745,0.0777785489791577,0.4606227106227106,0.25170068027210885,0.20892203035060175,0.3684210526315789,0.4009247027741083,-0.03250365014252937,0.1163003663003663,0.02947845804988662,0.08682190825047968,0.21052631578947367,0.08982826948480846,0.12069804630466521,LoCoMo,20260314T052424Z_locomo_ollama_mxbai_full,ollama / mxbai-embed-large,5,raw_turn,raw,Raw
1533,0.13134179405720278,0.8180039138943248,0.13633398564905413,0.1972568797925788,0.16566973019923406,0.1467060314653213,0.06228532914759486,0.08442070231772644,0.17788132642234408,0.1239952968787175,0.053886029543626576,0.43381180223285487,0.25089605734767023,0.18291574488518464,0.49282296650717705,0.3859516616314199,0.10687130487575713,0.10287081339712918,0.03942652329749104,0.06344429009963815,0.13875598086124402,0.08383685800604229,0.05491912285520173,LoCoMo,20260314T052424Z_locomo_ollama_mxbai_full,ollama / mxbai-embed-large,5,source_family,source,Source
899,0.1313401490756028,0.8120133481646273,0.21134593993325917,0.1244719709809852,0.10527285424316764,0.1417280256542522,0.08646943959386273,0.055258586060389456,0.17485382348439996,0.11967922081372484,0.055174602670675116,0.4246575342465753,0.28994082840236685,0.13471670584420847,0.5052631578947369,0.3709449929478138,0.13431816494692306,0.10273972602739725,0.04142011834319527,0.061319607684201985,0.13157894736842105,0.08039492242595205,0.051184024942469,LoCoMo,20260314T052424Z_locomo_ollama_mxbai_full,ollama / mxbai-embed-large,5,canonical,canonical,Canonical
470,0.05162721986513806,0.597872340425532,0.0,0.0384245138615189,0.015028930182251432,0.05621392745750799,0.04480782921193199,0.011406098245575993,,0.05162721986513806,,0.30604982206405695,0.2698412698412698,0.03620855222278713,,0.29148936170212764,,0.02491103202846975,0.015873015873015872,0.009038016155453878,,0.02127659574468085,,LongMemEval-S,20260313T172942Z_longmemeval_s_lexical_full,lexical / all-minilm,5,raw_turn,raw,Raw
470,0.05162721986513806,0.7042553191489361,0.2404255319148936,0.15526182394728072,0.13349357320989474,0.06053524384398772,0.030414587224855773,0.03012065661913195,0.06846773030867767,0.04629675017292525,0.022170980135752423,0.3413897280966767,0.17266187050359713,0.1687278575930796,0.3185840707964602,0.28291316526610644,0.035670905530353736,0.021148036253776436,0.02158273381294964,-0.0004346975591732055,0.017699115044247787,0.022408963585434174,-0.0047098485411863865,LongMemEval-S,20260313T172942Z_longmemeval_s_lexical_full,lexical / all-minilm,5,source_family,source,Source
332,0.05569954946521391,0.7801204819277109,0.34036144578313254,0.12375941757288776,0.10452090368074891,0.06405506615149259,0.02605463409882789,0.0380004320526647,0.06846773030867767,0.049111401358769145,0.019356328949908526,0.32432432432432434,0.2054794520547945,0.11884487226952983,0.3185840707964602,0.2876712328767123,0.03091283791974786,0.02702702702702703,0.0,0.02702702702702703,0.017699115044247787,0.0228310502283105,-0.005131935184062714,LongMemEval-S,20260313T172942Z_longmemeval_s_lexical_full,lexical / all-minilm,5,canonical,canonical,Canonical
470,0.05580089928393036,0.597872340425532,0.0,0.07589905093490061,0.07114509753024827,0.0650247976540528,0.04208706096644675,0.022937736687606042,,0.05580089928393036,,0.3274021352313167,0.26455026455026454,0.06285187068105219,,0.3021276595744681,,0.028469750889679714,0.021164021164021163,0.007305729725658551,,0.02553191489361702,,LongMemEval-S,20260313T185031Z_longmemeval_s_ollama_full_guarded_w8_np16,ollama / all-minilm,5,raw_turn,raw,Raw
470,0.05580089928393036,0.7468085106382979,0.274468085106383,0.13049107361951676,0.10538856777766258,0.06359246567012607,0.032819052212042205,0.030773413458083862,0.06447093619407647,0.052521031948420546,0.011949904245655923,0.35327635327635326,0.15126050420168066,0.2020158490746726,0.29457364341085274,0.30498533724340177,-0.01041169383254903,0.022792022792022793,0.03361344537815126,-0.010821422586128466,0.023255813953488372,0.026392961876832845,-0.0031371479233444736,LongMemEval-S,20260313T185031Z_longmemeval_s_ollama_full_guarded_w8_np16,ollama / all-minilm,5,source_family,source,Source
332,0.0612822999902757,0.9066265060240963,0.3885542168674699,0.0491810631712107,0.03140109191261524,0.06371819606783023,0.037630534850149354,0.02608766121768088,0.06447093619407647,0.059256023781949094,0.005214912412127376,0.3289036544850498,0.1935483870967742,0.13535526738827564,0.29457364341085274,0.33004926108374383,-0.03547561767289109,0.026578073089700997,0.03225806451612903,-0.005679991426428034,0.023255813953488372,0.029556650246305417,-0.0063008362928170455,LongMemEval-S,20260313T185031Z_longmemeval_s_ollama_full_guarded_w8_np16,ollama / all-minilm,5,canonical,canonical,Canonical
439,0.05284452207050792,0.6195899772209568,0.0,0.09066342489270672,0.09194234962649267,0.060705396440946705,0.04004118177853576,0.020664214662410946,,0.05284452207050792,,0.35661764705882354,0.24550898203592814,0.1111086650228954,,0.3143507972665148,,0.01838235294117647,0.017964071856287425,0.0004182810848890467,,0.018223234624145785,,LongMemEval-S,20260314T013728Z_longmemeval_s_ollama_bge_m3_full,ollama / bge-m3,5,raw_turn,raw,Raw
