shared_eligible_queries,both_positive_count,both_positive_mean_qa_f1,both_positive_qa_positive_rate,both_positive_qa_strong_rate,lhs_only_count,lhs_only_mean_qa_f1,lhs_only_qa_positive_rate,lhs_only_qa_strong_rate,rhs_only_count,rhs_only_mean_qa_f1,rhs_only_qa_positive_rate,rhs_only_qa_strong_rate,both_negative_count,both_negative_mean_qa_f1,both_negative_qa_positive_rate,both_negative_qa_strong_rate,rhs_minus_lhs_mean_qa_f1,rhs_minus_lhs_qa_positive_rate,rhs_minus_lhs_qa_strong_rate,dataset,run_id,system_label,parser_max_facts,lhs_mode,rhs_mode,lhs_label,rhs_label,metric_key,metric_label
899,695,0.14111195749063687,0.42589928057553955,0.10071942446043165,63,0.17109980089856253,0.4444444444444444,0.09523809523809523,0,,,,141,0.05433979074446075,0.2127659574468085,0.028368794326241134,,,,LoCoMo,20260313T023254Z_lexical_full,lexical / all-minilm,5,source_family,canonical,Source,Canonical,hit_at_k,Hit@K
899,173,0.1786193273368941,0.5086705202312138,0.12138728323699421,20,0.1766374269005848,0.35,0.2,0,,,,706,0.11626078787574597,0.3668555240793201,0.07790368271954674,,,,LoCoMo,20260313T023254Z_lexical_full,lexical / all-minilm,5,source_family,canonical,Source,Canonical,top1,Top1
1533,1019,0.16338290910665815,0.4681059862610402,0.11579980372914622,0,,,,182,0.04662768991073253,0.27472527472527475,0.005494505494505495,332,0.06538530812991557,0.2620481927710843,0.03313253012048193,,,,LoCoMo,20260313T072729Z_lexical_full_facts8,lexical / all-minilm,8,raw_turn,source_family,Raw,Source,hit_at_k,Hit@K
1533,22,0.19845826687931953,0.36363636363636365,0.22727272727272727,0,,,,175,0.17166129585353523,0.5028571428571429,0.11428571428571428,1336,0.1214629772431559,0.38772455089820357,0.07859281437125748,,,,LoCoMo,20260313T072729Z_lexical_full_facts8,lexical / all-minilm,8,raw_turn,source_family,Raw,Source,top1,Top1
942,539,0.17056029041148224,0.4805194805194805,0.13172541743970315,81,0.1529567644491392,0.3950617283950617,0.09876543209876543,182,0.04662768991073253,0.27472527472527475,0.005494505494505495,140,0.054396041775030844,0.21428571428571427,0.02142857142857143,-0.10632907453840666,-0.12033645366978696,-0.09327092660425994,LoCoMo,20260313T072729Z_lexical_full_facts8,lexical / all-minilm,8,raw_turn,canonical,Raw,Canonical,hit_at_k,Hit@K
942,0,,,,21,0.1682261208576998,0.3333333333333333,0.19047619047619047,175,0.17166129585353523,0.5028571428571429,0.11428571428571428,746,0.11642051548531697,0.3699731903485255,0.07908847184986595,0.003435174995835427,0.16952380952380958,-0.07619047619047618,LoCoMo,20260313T072729Z_lexical_full_facts8,lexical / all-minilm,8,raw_turn,canonical,Raw,Canonical,top1,Top1
942,721,0.139276333003526,0.42857142857142855,0.09986130374479889,81,0.1529567644491392,0.3950617283950617,0.09876543209876543,0,,,,140,0.054396041775030844,0.21428571428571427,0.02142857142857143,,,,LoCoMo,20260313T072729Z_lexical_full_facts8,lexical / all-minilm,8,source_family,canonical,Source,Canonical,hit_at_k,Hit@K
942,175,0.17166129585353523,0.5028571428571429,0.11428571428571428,21,0.1682261208576998,0.3333333333333333,0.19047619047619047,0,,,,746,0.11642051548531697,0.3699731903485255,0.07908847184986595,,,,LoCoMo,20260313T072729Z_lexical_full_facts8,lexical / all-minilm,8,source_family,canonical,Source,Canonical,top1,Top1
1533,1162,0.1522756758337148,0.4578313253012048,0.10585197934595525,0,,,,84,0.04413192634179305,0.21428571428571427,0.011904761904761904,287,0.061498974425925085,0.24390243902439024,0.03832752613240418,,,,LoCoMo,20260313T080007Z_ollama_full_warm_facts1,ollama / all-minilm,1,raw_turn,source_family,Raw,Source,hit_at_k,Hit@K
1533,2,0.06666666666666667,0.5,0.0,0,,,,173,0.1587814197544772,0.49710982658959535,0.10404624277456648,1358,0.12569889826279074,0.39248895434462444,0.0861561119293078,,,,LoCoMo,20260313T080007Z_ollama_full_warm_facts1,ollama / all-minilm,1,raw_turn,source_family,Raw,Source,top1,Top1
453,330,0.14906356815988292,0.4727272727272727,0.09393939393939393,11,0.051423324150596875,0.18181818181818182,0.0,84,0.04413192634179305,0.21428571428571427,0.011904761904761904,28,0.09266642057339732,0.25,0.07142857142857142,-0.0072913978088038275,0.03246753246753245,0.011904761904761904,LoCoMo,20260313T080007Z_ollama_full_warm_facts1,ollama / all-minilm,1,raw_turn,canonical,Raw,Canonical,hit_at_k,Hit@K
453,0,,,,0,,,,173,0.1587814197544772,0.49710982658959535,0.10404624277456648,280,0.10210425010592539,0.3464285714285714,0.05714285714285714,,,,LoCoMo,20260313T080007Z_ollama_full_warm_facts1,ollama / all-minilm,1,raw_turn,canonical,Raw,Canonical,top1,Top1
453,414,0.12777309010983567,0.42028985507246375,0.07729468599033816,11,0.051423324150596875,0.18181818181818182,0.0,0,,,,28,0.09266642057339732,0.25,0.07142857142857142,,,,LoCoMo,20260313T080007Z_ollama_full_warm_facts1,ollama / all-minilm,1,source_family,canonical,Source,Canonical,hit_at_k,Hit@K
453,173,0.1587814197544772,0.49710982658959535,0.10404624277456648,0,,,,0,,,,280,0.10210425010592539,0.3464285714285714,0.05714285714285714,,,,LoCoMo,20260313T080007Z_ollama_full_warm_facts1,ollama / all-minilm,1,source_family,canonical,Source,Canonical,top1,Top1
1533,1092,0.16165683973284922,0.45787545787545786,0.1163003663003663,0,,,,162,0.041992047159170154,0.24074074074074073,0.012345679012345678,279,0.06206923647708423,0.24731182795698925,0.03942652329749104,,,,LoCoMo,20260313T053200Z_ollama_full_warm,ollama / all-minilm,5,raw_turn,source_family,Raw,Source,hit_at_k,Hit@K
